Age-Group,1991-Male,1991-Female
0-4,50017380,40506575
5-9,53875568,44125908
10-14,46744268,39012553
15-19,36803855,30483445
20-24,36958481,26257729
25-29,34692671,24615340
30-34,28486719,21151586
35-39,24840570,19447201
40-44,19714094,16221663
45-49,17179237,13665299
50-54,14208702,12661465
55-59,10530755,8165702
60-64,10841739,9345080
65-69,6364869,5029356
70-74,5018131,4387592
75-79,2043289,1628281
80-84,1893926,1680599
85-89,544928,464653
90-94,402757,341296
95-99,129003,106719
100+,72373,79273,51342
Age not stated,2705595,1989563,1921821
